"hugo_gene"	"link"
"PDE8B"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE8B', target = '_blank'>GeneCards</a>"
"HPGD"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HPGD', target = '_blank'>GeneCards</a>"
"BACE2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BACE2', target = '_blank'>GeneCards</a>"
"OPRL1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRL1', target = '_blank'>GeneCards</a>"
"PPOX"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PPOX', target = '_blank'>GeneCards</a>"
"TACR3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=TACR3', target = '_blank'>GeneCards</a>"
"BDKRB1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=BDKRB1', target = '_blank'>GeneCards</a>"
"HSP90AA1"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1', target = '_blank'>GeneCards</a>"
"PARP2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP2', target = '_blank'>GeneCards</a>"
"PARP3"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP3', target = '_blank'>GeneCards</a>"
"SHBG"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG', target = '_blank'>GeneCards</a>"
"CDK2"	"<a href = 'http://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2', target = '_blank'>GeneCards</a>"
